Threshold,Accuracy,Precision,Recall,F1-score,TN,FP,FN,TP
0.5,0.7637075718015666,0.16461916461916462,0.7528089887640449,0.2701612903225806,1103,340,22,67
0.4,0.6866840731070496,0.137291280148423,0.8314606741573034,0.2356687898089172,978,465,15,74
0.3,0.6403394255874674,0.12980769230769232,0.9101123595505618,0.22720897615708274,900,543,8,81
0.2,0.5737597911227154,0.1136986301369863,0.9325842696629213,0.2026862026862027,796,647,6,83
0.1,0.5052219321148825,0.10131108462455304,0.9550561797752809,0.18318965517241378,689,754,4,85
