Model,Accuracy,Precision,Recall,F1-score
Random Forest,0.7114882506527415,0.1448692152917505,0.8089887640449438,0.24573378839590443
XGBoost,0.7637075718015666,0.16461916461916462,0.7528089887640449,0.2701612903225806
Logistic Regression,0.7460835509138382,0.1511627906976744,0.7303370786516854,0.2504816955684008
Decision Tree,0.7754569190600522,0.16180371352785147,0.6853932584269663,0.26180257510729615
KNN,0.9360313315926893,0.0,0.0,0.0
AdaBoost,0.9419060052219321,0.0,0.0,0.0
